Nominated By,Name,URL,Description,quality dimension it asseses or improves,,,applies to (software tier),,,How to use,,,programming languages it applies to,Free/Paid/Freemium,License,"Used by - choose from (ESCAPE, PANOSC, SSHOC, EOSC-Life, ENVRI-FAIR)",The tool/service can evaluate or measure software quality,,,,,,,,,,,,,,,,,,,,,,,Which aspects
Katja Linnemann,Gcov,https://gcc.gnu.org/onlinedocs/gcc/Gcov.html,Code coverage analysis - which lines are actually executed and how often,,"Code analysis, Resource efficiency",,x,x,x,x,,,use in concert with gcc,free,GPL,,x,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Valgrind,https://valgrind.org,"detect memory management and threading bugs, run profiling to see how to speed up your programs",,"Code analysis, Resource efficiency",,x,x,x,,,,any,free,GPLv2,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,IntelliJ IDEA,https://www.jetbrains.com/fr-fr/idea/,integrated development environment (IDE) written in Java,,"Code analysis, Maintainability",,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,Poetry,https://python-poetry.org/,Python packaging and dependency management made easy,,"Portability, Usability",,,x,x,x,,,Python,Free,MIT,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,PyPi,https://pypi.org/,the official third-party software repository for Python,,"Usability, Portability",,,x,x,x,x,x,Python,Free,,,x,,,,,,,,,,,,,,,,,,,,,,,
Tom François,DVC,https://dvc.org/,"Manage and version images, audio, video, and text files in storage and organize your ML modeling process into a reproducible workflow",,"Reproducibility, Long-term usability",,,x,x,x,x,,Python,Free,Apache-2.0,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,eOSSR,https://gitlab.com/escape-ossr/eossr,The eOSSR is the Python library to programmatically manage the ESCAPE OSSR. It also includes CodeMeta generator and validator.,x,"Documentation, Portability",x,x,x,x,x,x,x,,Free,MIT,ESCAPE,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,chatGPT,https://chat.openai.com/,a generative artificial intelligence chatbot developed by OpenAI and able to produce code or answer questions on code,,"Maintainability, Documentation, Usability, Functionnal stability",,x,x,x,,,x,,Freemium,,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,Claude,https://claude.ai/new,a generative artificial intelligence chatbot developed by Anthropic and able to produce code or answer questions on code,,"Maintainability, Documentation, Usability, Functionnal stability",,x,x,x,,,x,,Freemium,,,x,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,GitHub Copilot,https://github.com/features/copilot,"code completion and automatic programming tool developed by GitHub and OpenAI that assists users of Visual Studio Code, Visual Studio, Neovim, and JetBrains integrated development environments (IDEs) by autocompleting code",,"Maintainability, Documentation, Usability, Functionnal stability",,x,x,x,x,,,,Paid,,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Dependabot,https://github.com/dependabot/dependabot-core,generate automated pull requests updating dependencies for projects,,"Security, Functional sustainability, Long-term usability, Maintainability",,,x,x,,x,x (available e.g. in GitHub and GitLab),"Ruby, JavaScript, Python, PHP, Dart, Elixir, Elm, Go, Rust, Java and .NET",Free,MIT,,x,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Bajare,SonarQube,https://www.sonarsource.com/products/sonarqube/,Continuous inspection of code quality to perform automatic reviews for static analysis of code,,"Security,Code analysis",,,x,x,,,,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Bajare,Jupyter,https://pypi.org/project/jupyter-book/,For building publication-quality books and documents from computational material.,,"Maintainability, Documentation, Usability",,x,,x,,,x,,Free,,,,,,,,,,,,,,,,,,,,,,,,,,
Shraddha Bajare,Selenium,https://pypi.org/project/selenium/,The selenium package is used to automate web browser interaction from Python. Selenium WebDriver is often used as a basis for testing web applications.,,Usability,,x,x,x,,,,"python, java",Free,,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,git,https://git-scm.com,distributed version control system designed to handle everything from small to very large projects with speed and efficiency,x,"Functional Sustainability, Long Term Usability, Documentation, Community",,x,x,x,x,,,,free,GPLv2,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Jenkins,https://www.jenkins.io,"automation server to support building, testing and deploying software",,"Security, Code analysis, Functionnal sustainability, Long-term usability",,,x,x,,x,,,free,MIT,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Travis,https://www.travis-ci.com,"CI platform to support building, testing and deploying software",,"Security, Code analysis, Functionnal sustainability, Long-term usability",,,x,x,,x,x,,"paid, might be possible to get free plan for open source project",,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,kubernetes,https://kubernetes.io,"automating deployment, scaling, and management of containerized applications",x,"Usability, Portability",,,,x,,,,,free,Apache-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,CMake,https://cmake.org,Build System,x,"Usability, Reproducability, Portability",,,,,,,,,free,BSD 3-clause,,x,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Nix,https://nixos.org,Packaging system,x,"Usability, Reproducability, Portability",,,,,,,,,free,LGPL v2.1,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Guix,https://guix.gnu.org,Packaging system,x,"Usability, Reproducability, Portability",,,,,,,,,free,GPL,,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,RPM,https://rpm.org,Packaging system,x,"Usability, Reproducability, Portability",,,,,,,,,free,"GPL, LGPL",,,,,,,,,,,,,,,,,,,,,,,,,
Katja Linnemann,Zammad,https://zammad.com,Ticketing System,x,Community,,,,x,,,x,,free,AGPL-3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Vuillaume,SCANOSS,https://www.scanoss.com/,"Tool that helps identify and manage open-source components in software by scanning for licenses, vulnerabilities, and compliance risks.",,,licensing,x,x,x,x,x,x,,freemium,GPL-2.0,,,,,,,,,,,,,,,,,,,,,,,,,
